run_id,timestamp,protocol,workload,num_cores,total_accesses,total_hits,total_misses,global_hit_rate,global_miss_rate,total_bus_requests,total_bus_grants,total_mem_accesses,total_bus_bytes,busrd,busrdx,busupd,total_invalidations,total_updates,total_memory_accesses,total_memory_bytes,source_file,workload_base,workload_model,size,batch_id,run_index,status,bus_total_requests,bus_total_grants,bus_total_mem_accesses,bus_total_bytes,bus_total_invalidations,bus_total_updates,bus_queue_backpressure_events,bus_busrd,bus_busrdx,bus_busupd,bus_total_time_ns,bus_bandwidth_bytes_per_ns,mem_total_accesses,mem_total_bytes,mem_sim_time_ns,mem_bandwidth_bytes_per_ns,mem_max_queue_length,mem_avg_queue_wait_ns,mem_avg_service_time_ns,mem_avg_total_latency_ns,mem_total_service_time_ns,bus_bandwidth_MB_s,mem_bandwidth_MB_s,busrdx_per_access,busupd_per_access,invalidations_per_access,updates_per_access,ownership_or_update_rate
20260510_193407_r13,2026-05-10T19:45:06.886,MSI,workload_prod-cons_1000,4,4000,1000,3000,25.0,75.0,3500,3500,3500,112000,1500,2000,0,2000,0,3500,112000,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_193407_r13_MSI_workload_prod-cons_1000_summary.csv,workload_prod-cons_1000,PROD-CONS,1000,20260510_193407,13.0,PASS,3500,3500,3500,112000,2000,0,0,1500,2000,0,42070.0,2.66223,3500,112000,42070.0,2.66223,1,0.0,4.0,4.0,14000.0,2662.23,2662.23,0.5,0.0,0.5,0.0,0.5
20260510_193407_r14,2026-05-10T19:45:14.010,MSI,workload_prod-cons_10000,4,40000,10000,30000,25.0,75.0,35000,35000,35000,1120000,15000,20000,0,20000,0,35000,1120000,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_193407_r14_MSI_workload_prod-cons_10000_summary.csv,workload_prod-cons_10000,PROD-CONS,10000,20260510_193407,14.0,PASS,35000,35000,35000,1120000,20000,0,0,15000,20000,0,420070.0,2.666222,35000,1120000,420070.0,2.666222,1,0.0,4.0,4.0,140000.0,2666.2219999999998,2666.2219999999998,0.5,0.0,0.5,0.0,0.5
20260510_193407_r15,2026-05-10T19:46:12.736,MSI,workload_prod-cons_100000,4,400000,100000,300000,25.0,75.0,350000,350000,350000,11200000,150000,200000,0,200000,0,350000,11200000,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_193407_r15_MSI_workload_prod-cons_100000_summary.csv,workload_prod-cons_100000,PROD-CONS,100000,20260510_193407,15.0,PASS,350000,350000,350000,11200000,200000,0,0,150000,200000,0,4200070.0,2.666622,350000,11200000,4200070.0,2.666622,1,0.0,4.0,4.0,1400000.0,2666.622,2666.622,0.5,0.0,0.5,0.0,0.5
20260510_195622_r01,2026-05-10T19:56:24.441,FIREFLY,workload_contention_20,4,80,60,20,75.0,25.0,63,63,63,812,20,0,43,0,43,63,812,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r01_FIREFLY_workload_contention_20_summary.csv,workload_contention_20,CONTENTION,20,20260510_195622,1.0,PASS,63,63,63,812,0,43,13,20,0,43,462.0,1.757576,63,812,462.0,1.757576,1,0.0,1.611,1.952,101.5,1757.576,1757.576,0.0,0.5375,0.0,0.5375,0.5375
20260510_195622_r02,2026-05-10T19:56:26.017,FIREFLY,workload_contention_100,4,400,365,35,91.25,8.75,173,173,173,1672,35,0,138,0,138,173,1672,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r02_FIREFLY_workload_contention_100_summary.csv,workload_contention_100,CONTENTION,100,20260510_195622,2.0,PASS,173,173,173,1672,0,138,8,35,0,138,1358.0,1.231222,173,1672,1358.0,1.231222,1,0.0,1.208,1.607,209.0,1231.222,1231.222,0.0,0.345,0.0,0.345,0.345
20260510_195622_r03,2026-05-10T19:56:27.833,FIREFLY,workload_contention_1000,4,4000,3746,254,93.65,6.35,1667,1667,1667,13780,254,0,1413,0,1413,1667,13780,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r03_FIREFLY_workload_contention_1000_summary.csv,workload_contention_1000,CONTENTION,1000,20260510_195622,3.0,PASS,1667,1667,1667,13780,0,1413,55,254,0,1413,11586.0,1.189366,1667,13780,11586.0,1.189366,1,0.0,1.033,1.457,1722.5,1189.366,1189.366,0.0,0.35325,0.0,0.35325,0.35325
20260510_195622_r04,2026-05-10T19:56:32.744,FIREFLY,workload_contention_10000,4,40000,38658,1342,96.65,3.36,14790,14790,14790,96736,1342,0,13448,0,13448,14790,96736,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r04_FIREFLY_workload_contention_10000_summary.csv,workload_contention_10000,CONTENTION,10000,20260510_195622,4.0,PASS,14790,14790,14790,96736,0,13448,48,1342,0,13448,104532.0,0.92542,14790,96736,104532.0,0.92542,1,0.0,0.818,1.272,12092.0,925.4200000000001,925.4200000000001,0.0,0.3362,0.0,0.3362,0.3362
20260510_195622_r05,2026-05-10T19:57:05.483,FIREFLY,workload_contention_100000,4,400000,381813,18187,95.45,4.55,156123,156123,156123,1133728,18187,0,137936,0,137936,156123,1133728,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r05_FIREFLY_workload_contention_100000_summary.csv,workload_contention_100000,CONTENTION,100000,20260510_195622,5.0,PASS,156123,156123,156123,1133728,0,137936,1712,18187,0,137936,1064108.0,1.065426,156123,1133728,1064108.0,1.065426,1,0.0,0.908,1.349,141716.0,1065.426,1065.426,0.0,0.34484,0.0,0.34484,0.34484
20260510_195622_r06,2026-05-10T20:02:27.401,FIREFLY,workload_migration_20,4,80,76,4,95.0,5.0,24,24,24,208,4,0,20,0,20,24,208,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r06_FIREFLY_workload_migration_20_summary.csv,workload_migration_20,MIGRATION,20,20260510_195622,6.0,PASS,24,24,24,208,0,20,0,4,0,20,308.0,0.675325,24,208,308.0,0.675325,1,0.0,1.083,1.5,26.0,675.3249999999999,675.3249999999999,0.0,0.25,0.0,0.25,0.25
20260510_195622_r07,2026-05-10T20:02:29.343,FIREFLY,workload_migration_100,4,400,384,16,96.0,4.0,116,116,116,912,16,0,100,0,100,116,912,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r07_FIREFLY_workload_migration_100_summary.csv,workload_migration_100,MIGRATION,100,20260510_195622,7.0,PASS,116,116,116,912,0,100,2,16,0,100,1154.0,0.790295,116,912,1154.0,0.790295,1,0.0,0.983,1.414,114.0,790.295,790.295,0.0,0.25,0.0,0.25,0.25
20260510_195622_r08,2026-05-10T20:02:31.109,FIREFLY,workload_migration_1000,4,4000,3872,128,96.8,3.2,1128,1128,1128,8096,128,0,1000,0,1000,1128,8096,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r08_FIREFLY_workload_migration_1000_summary.csv,workload_migration_1000,MIGRATION,1000,20260510_195622,8.0,PASS,1128,1128,1128,8096,0,1000,2,128,0,1000,10490.0,0.771783,1128,8096,10490.0,0.771783,1,0.0,0.897,1.34,1012.0,771.783,771.783,0.0,0.25,0.0,0.25,0.25
20260510_195622_r09,2026-05-10T20:02:35.435,FIREFLY,workload_migration_10000,4,40000,38748,1252,96.87,3.13,11252,11252,11252,80064,1252,0,10000,0,10000,11252,80064,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r09_FIREFLY_workload_migration_10000_summary.csv,workload_migration_10000,MIGRATION,10000,20260510_195622,9.0,PASS,11252,11252,11252,80064,0,10000,2,1252,0,10000,103862.0,0.770869,11252,80064,103862.0,0.770869,1,0.0,0.889,1.334,10008.0,770.869,770.869,0.0,0.25,0.0,0.25,0.25
20260510_195622_r10,2026-05-10T20:03:05.164,FIREFLY,workload_migration_100000,4,400000,387500,12500,96.88,3.13,112500,112500,112500,800000,12500,0,100000,0,100000,112500,800000,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r10_FIREFLY_workload_migration_100000_summary.csv,workload_migration_100000,MIGRATION,100000,20260510_195622,10.0,PASS,112500,112500,112500,800000,0,100000,2,12500,0,100000,1037606.0,0.771006,112500,800000,1037606.0,0.771006,1,0.0,0.889,1.333,100000.0,771.006,771.006,0.0,0.25,0.0,0.25,0.25
20260510_195622_r11,2026-05-10T20:07:52.472,FIREFLY,workload_prod-cons_20,4,80,76,4,95.0,5.0,44,44,44,288,4,0,40,0,40,44,288,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r11_FIREFLY_workload_prod-cons_20_summary.csv,workload_prod-cons_20,PROD-CONS,20,20260510_195622,11.0,PASS,44,44,44,288,0,40,5,4,0,40,308.0,0.935065,44,288,308.0,0.935065,1,0.0,0.818,1.273,36.0,935.065,935.065,0.0,0.5,0.0,0.5,0.5
20260510_195622_r12,2026-05-10T20:07:54.129,FIREFLY,workload_prod-cons_100,4,400,396,4,99.0,1.0,204,204,204,928,4,0,200,0,200,204,928,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r12_FIREFLY_workload_prod-cons_100_summary.csv,workload_prod-cons_100,PROD-CONS,100,20260510_195622,12.0,PASS,204,204,204,928,0,200,5,4,0,200,1108.0,0.837545,204,928,1108.0,0.837545,1,0.0,0.569,1.059,116.0,837.545,837.545,0.0,0.5,0.0,0.5,0.5
20260510_195622_r13,2026-05-10T20:07:56.034,FIREFLY,workload_prod-cons_1000,4,4000,3996,4,99.9,0.1,2004,2004,2004,8128,4,0,2000,0,2000,2004,8128,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r13_FIREFLY_workload_prod-cons_1000_summary.csv,workload_prod-cons_1000,PROD-CONS,1000,20260510_195622,13.0,PASS,2004,2004,2004,8128,0,2000,5,4,0,2000,10108.0,0.804116,2004,8128,10108.0,0.804116,1,0.0,0.507,1.006,1016.0,804.1160000000001,804.1160000000001,0.0,0.5,0.0,0.5,0.5
20260510_195622_r14,2026-05-10T20:08:02.057,FIREFLY,workload_prod-cons_10000,4,40000,39996,4,99.99,0.01,20004,20004,20004,80128,4,0,20000,0,20000,20004,80128,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r14_FIREFLY_workload_prod-cons_10000_summary.csv,workload_prod-cons_10000,PROD-CONS,10000,20260510_195622,14.0,PASS,20004,20004,20004,80128,0,20000,5,4,0,20000,100108.0,0.800416,20004,80128,100108.0,0.800416,1,0.0,0.501,1.001,10016.0,800.416,800.416,0.0,0.5,0.0,0.5,0.5
20260510_195622_r15,2026-05-10T20:08:49.663,FIREFLY,workload_prod-cons_100000,4,400000,399996,4,100.0,0.0,200004,200004,200004,800128,4,0,200000,0,200000,200004,800128,C:\Users\amv22\Dev\repos\CE4302 ARQII\CE4302_PG01\Codigo Fuente\sim_results\csv_summary\20260510_195622_r15_FIREFLY_workload_prod-cons_100000_summary.csv,workload_prod-cons_100000,PROD-CONS,100000,20260510_195622,15.0,PASS,200004,200004,200004,800128,0,200000,5,4,0,200000,1000108.0,0.800042,200004,800128,1000108.0,0.800042,1,0.0,0.5,1.0,100016.0,800.042,800.042,0.0,0.5,0.0,0.5,0.5
